"","rent","bedrooms","bathrooms","size_sqft","min_to_subway","floor","no_fee","has_roofdeck","has_washer_dryer","has_doorman","has_elevator","has_dishwasher","has_patio","has_gym","submarket_All.Downtown","submarket_All.Midtown","submarket_All.Upper.East.Side","submarket_All.Upper.Manhattan","submarket_All.Upper.West.Side","submarket_Central.Queens","submarket_East.Brooklyn","submarket_North.Brooklyn","submarket_Northeast.Queens","submarket_Northwest.Brooklyn","submarket_Northwest.Queens","submarket_Prospect.Park","submarket_South.Brooklyn","submarket_South.Queens","submarket_The.Rockaways","before_war"
"141",2575,0,1,-0.977169025936308,3,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"142",3080,1,1,-0.602297218312593,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"143",6992,2,2,0.665451076560338,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"144",3750,1,1,-0.500059452597034,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"145",6695,2,2,0.256500013698102,2,17,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",5500,1,1,0.556397459797075,5,22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"147",5475,1,1,0.395088985001415,2,38,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",1850,1,1,0.181525652173359,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"149",6000,4,2,1.99908593156107,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"150",4910,2,2,0.0293049787746379,10,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151",5150,1,1,-0.511419204343207,3,18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"152",4950,1,1,0.442799942335343,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",2700,2,2,-0.386461935135302,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"154",1600,0,1,-0.727254487520498,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"155",5225,1,1,-0.341022928150609,3,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"156",4246,2,2,0.408720687096823,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"157",13750,3,3,2.27171997346923,43,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"158",2299,3,1,0.181525652173359,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"159",2400,1.5,1,-0.386461935135302,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"160",4500,1,1,-0.375102183389128,7,43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",2485,1,1,-0.49324360154933,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"162",2200,1,1,-0.5568582113279,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"163",4000,1,1,-0.181986403704184,10,40,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"164",4000,1,2,-0.0456693827501053,3,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"165",4300,0,1,-0.820404451839118,3,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
